pripremiti pripremiti+V
izraditi izraditi+V
oprostiti oprostiti+V
proširiti proširiti+V
govoriti govoriti+V
otkloniti otkloniti+V
unaprediti unaprediti+V
otplatiti otplatiti+V
pretpostaviti pretpostaviti+V
smanjiti smanjiti+V
pustiti pustiti+V
značiti značiti+V
rešiti rešiti+V
naslediti naslediti+V
štiti štiti+V
zaštititi zaštititi+V
snositi snositi+V
razdvojiti razdvojiti+V
ograničiti ograničiti+V
zavisiti zavisiti+V
patiti patiti+V
odstupiti odstupiti+V
zaključiti zaključiti+V
učiniti učiniti+V
uložiti uložiti+V
ponoviti ponoviti+V
raditi raditi+V
usredsrediti usredsrediti+V
odrediti odrediti+V
pojaviti pojaviti+V
obaviti obaviti+V
prihvatiti prihvatiti+V
potrošiti potrošiti+V
ponuditi ponuditi+V
preporučiti preporučiti+V
zameniti zameniti+V
obezbediti obezbediti+V
izgubiti izgubiti+V
iznositi iznositi+V
složiti složiti+V
odobriti odobriti+V
omogućiti omogućiti+V
uočiti uočiti+V
obilaziti obilaziti+V
ostaviti ostaviti+V
staviti staviti+V
izmeniti izmeniti+V
unakaziti unakaziti+V
razmotriti razmotriti+V
ohrabriti ohrabriti+V
ispuniti ispuniti+V
odbaciti odbaciti+V
suočiti suočiti+V
rijaliti rijaliti+V
osetiti osetiti+V
tražiti tražiti+V
vlastiti vlastiti+V
deliti deliti+V
zanemariti zanemariti+V
nastupiti nastupiti+V
vratiti vratiti+V
udvostručiti udvostručiti+V
izvršiti izvršiti+V
zatražiti zatražiti+V
nastaviti nastaviti+V
dozvoliti dozvoliti+V
krediti krediti+V
razvodniti razvodniti+V
usuditi usuditi+V
potvrditi potvrditi+V
pružiti pružiti+V
shvatiti shvatiti+V
desiti desiti+V
protiviti protiviti+V
ostvariti ostvariti+V
povratiti povratiti+V
izmisliti izmisliti+V
različiti različiti+V
uništiti uništiti+V
preurediti preurediti+V
skladištiti skladištiti+V
primiti primiti+V
otkriti otkriti+V
odgovoriti odgovoriti+V
uraditi uraditi+V
protumačiti protumačiti+V
zamisliti zamisliti+V
predstaviti predstaviti+V
odnositi odnositi+V
uspostaviti uspostaviti+V
napraviti napraviti+V
arvaniti arvaniti+V
podnositi podnositi+V
proceniti proceniti+V
dobiti dobiti+V
opslužiti opslužiti+V
posetiti posetiti+V
pratiti pratiti+V
povrediti povrediti+V
napustiti napustiti+V
posvetiti posvetiti+V
namestiti namestiti+V
iskoristiti iskoristiti+V
nuditi nuditi+V
zaštiti zaštiti+V
rušiti rušiti+V
koristiti koristiti+V
učiti učiti+V
umoriti umoriti+V
dogoditi dogoditi+V
smisliti smisliti+V
sprovoditi sprovoditi+V
uskladiti uskladiti+V
razotkriti razotkriti+V
voditi voditi+V
promeniti promeniti+V
prenositi prenositi+V
uslediti uslediti+V
otpustiti otpustiti+V
pridružiti pridružiti+V
otvoriti otvoriti+V
završiti završiti+V
razrešiti razrešiti+V
sprečiti sprečiti+V
kazniti kazniti+V
težiti težiti+V
odvratiti odvratiti+V
postaviti postaviti+V
kupiti kupiti+V
udružiti udružiti+V
poslužiti poslužiti+V
uhvatiti uhvatiti+V
izgraditi izgraditi+V
ustanoviti ustanoviti+V
ugroziti ugroziti+V
proučiti proučiti+V
slediti slediti+V
zaposliti zaposliti+V
predložiti predložiti+V
osuditi osuditi+V
nadoknaditi nadoknaditi+V
obnoviti obnoviti+V
stvoriti stvoriti+V
pristupiti pristupiti+V
oseti oseti+V
započeti započeti+V
preuzeti preuzeti+V
dopreti dopreti+V
uzeti uzeti+V
doprineti doprineti+V
preduzeti preduzeti+V
doneti doneti+V
preoteti preoteti+V
poseti poseti+V
preneti preneti+V
animoziteti animoziteti+V
anketi anketi+V
peti peti+V
deveti deveti+V
našteti našteti+V
posveti posveti+V
tereti tereti+V
meti meti+V
ćančeti ćančeti+V
ahmeti ahmeti+V
univerziteti univerziteti+V
uspeti uspeti+V
antikviteti antikviteti+V
razumeti razumeti+V
oteti oteti+V
početi početi+V
dijeti dijeti+V
oživeti oživeti+V
preti preti+V
videti videti+V
predvideti predvideti+V
podneti podneti+V
aveti aveti+V
predmeti predmeti+V
fakulteti fakulteti+V
pozivajući pozivati+V+PresentPat
falsifikovati falsifikovati+V
zahtevajući zahtevati+V+PresentPat
blokirati blokirati+V
dokazati dokazati+V
kopirati kopirati+V
uračunati uračunati+V
apstinirati apstinirati+V
podržati podržati+V
poboljšati poboljšati+V
morati morati+V
oklevati oklevati+V
menjati menjati+V
omogućavajući omogućavati+V+PresentPat
zadržati zadržati+V
intervenisati intervenisati+V
garantovati garantovati+V
stajati stajati+V
organizovati organizovati+V
pozvati pozvati+V
klati klati+V
razmenjivati razmenjivati+V
prati prati+V
palati palati+V
sastati sastati+V
pokazati pokazati+V
pisati pisati+V
razrešavati razrešavati+V
primenjivati primenjivati+V
obraćajući obraćati+V+PresentPat
otputovati otputovati+V
prisustvovati prisustvovati+V
prebacivati prebacivati+V
sarađivati sarađivati+V
vrati vrati+V
investirati investirati+V
preispitati preispitati+V
slati slati+V
pokušati pokušati+V
poštovati poštovati+V
trajati trajati+V
poslati poslati+V
dajući dati+V+PresentPat
sećati sećati+V
povrati povrati+V
postupati postupati+V
održavati održavati+V
požurivati požurivati+V
zarađivati zarađivati+V
prihvati prihvati+V
plati plati+V
zloupotrebljavati zloupotrebljavati+V
raspravljati raspravljati+V
prikazati prikazati+V
uhvati uhvati+V
obrati obrati+V
pridržavati pridržavati+V
rezultati rezultati+V
zvati zvati+V
uticati uticati+V
postojati postojati+V
koštati koštati+V
funkcionisati funkcionisati+V
pokušavati pokušavati+V
potpisati potpisati+V
analizirati analizirati+V
advokati advokati+V
posmatrati posmatrati+V
predstavljajući predstavljati+V+PresentPat
rešavati rešavati+V
dobijati dobijati+V
modelirati modelirati+V
mati mati+V
zapošljavati zapošljavati+V
pati pati+V
prepoznati prepoznati+V
držati držati+V
bušati bušati+V
imajući imati+V+PresentPat
dočekivati dočekivati+V
izolovati izolovati+V
uključivati uključivati+V
ostati ostati+V
održati održati+V
pridati pridati+V
okončati okončati+V
poznati poznati+V
insistirajući insistirati+V+PresentPat
verovati verovati+V
zamišljati zamišljati+V
odvijati odvijati+V
doputovati doputovati+V
birati birati+V
povećati povećati+V
intenzivirati intenzivirati+V
postati postati+V
olakšati olakšati+V
reagovati reagovati+V
predati predati+V
pružati pružati+V
isplati isplati+V
sačuvati sačuvati+V
smanjivati smanjivati+V
prestati prestati+V
razgovarati razgovarati+V
vraćati vraćati+V
sati sati+V
obavljajući obavljati+V+PresentPat
pregovarati pregovarati+V
pervati pervati+V
ometati ometati+V
učestvovati učestvovati+V
oslanjati oslanjati+V
smatrati smatrati+V
glasati glasati+V
zaletati zaletati+V
suspendovati suspendovati+V
povezati povezati+V
kandidati kandidati+V
hrvati hrvati+V
nemati nemati+V
objavljivati objavljivati+V
izazvati izazvati+V
nadati nadati+V
ojačati ojačati+V
igrajući igrati+V+PresentPat
osećati osećati+V
razvijati razvijati+V
ispričati ispričati+V
izabrati izabrati+V
fokusirati fokusirati+V
ticati ticati+V
artikulisati artikulisati+V
bogati bogati+V
zapitati zapitati+V
postavljajući postavljati+V+PresentPat
delati delati+V
putovati putovati+V
finansirati finansirati+V
izdati izdati+V
odavati odavati+V
priznati priznati+V
plakati plakati+V
plaćati plaćati+V
izdavati izdavati+V
nadmetati nadmetati+V
aktivirati aktivirati+V
očekivati očekivati+V
cenjkati cenjkati+V
pojačati pojačati+V
ratifikovati ratifikovati+V
definisati definisati+V
zalagati zalagati+V
izražavajući izražavati+V+PresentPat
preduzimajući preduzimati+V+PresentPat
sindikati sindikati+V
počevši počevši+V
uzdrmavši uzdrmavši+V
učinivši učinivši+V
pretvorivši pretvorivši+V
osvojivši osvojivši+V
proširivši proširivši+V
primetivši primetivši+V
dostigavši dostigavši+V
postavivši postavivši+V
zamenivši zamenivši+V
ponovivši ponovivši+V
izazvavši izazvavši+V
pohvalivši pohvalivši+V
bivši bivši+V
završivši završivši+V
rekavši rekavši+V
pobedivši pobedivši+V
naslutivši naslutivši+V
zabeleživši zabeleživši+V
dobivši dobivši+V
upozoravajući upozoravati+V+PresentPat
objašnjavajući objašnjavati+V+PresentPat
završavajući završavati+V+PresentPat
ubacujući ubacovati+V+PresentPat
čitajući čitati+V+PresentPat
potvrđujući potvrđovati+V+PresentPat
ažurirajući ažurirati+V+PresentPat
optužujući optužovati+V+PresentPat
odgovarajući odgovarati+V+PresentPat
pozdravljajući pozdravljati+V+PresentPat
dodajući dodati+V+PresentPat
znajući znati+V+PresentPat
otvarajući otvarati+V+PresentPat
primajući primati+V+PresentPat
narastajući narastati+V+PresentPat
predsedavajući predsedavati+V+PresentPat
savetujući savetovati+V+PresentPat
osuđujući osuđovati+V+PresentPat
ohrabrujući ohrabrovati+V+PresentPat
okončavajući okončavati+V+PresentPat
podsećajući podsećati+V+PresentPat
opisujući opisovati+V+PresentPat
kritikujući kritikovati+V+PresentPat
uveravajući uveravati+V+PresentPat
saopštavajući saopštavati+V+PresentPat
sprečavajući sprečavati+V+PresentPat
suočavajući suočavati+V+PresentPat
oslobađajući oslobađati+V+PresentPat
čekajući čekati+V+PresentPat
izdvajajući izdvajati+V+PresentPat
diskreditujući diskreditovati+V+PresentPat
zatvarajući zatvarati+V+PresentPat
protestujući protestovati+V+PresentPat
odbijajući odbijati+V+PresentPat
najavljujući najavljovati+V+PresentPat
nazivajući nazivati+V+PresentPat
emigrirajući emigrirati+V+PresentPat
zbližavajući zbližavati+V+PresentPat
prezajući prezati+V+PresentPat
zbunjujući zbunjovati+V+PresentPat
ukazujući ukazovati+V+PresentPat
pretvarajući pretvarati+V+PresentPat
tragajući tragati+V+PresentPat
nedostajući nedostati+V+PresentPat
prodajući prodati+V+PresentPat
primoravajući primoravati+V+PresentPat
potiskujući potiskovati+V+PresentPat
uključujući uključovati+V+PresentPat
bacajući bacati+V+PresentPat
zahvaljujući zahvaljovati+V+PresentPat
svrstavajući svrstavati+V+PresentPat
obeležavajući obeležavati+V+PresentPat
obećavajući obećavati+V+PresentPat
preneražavajući preneražavati+V+PresentPat
otuđujući otuđovati+V+PresentPat
pojavljujući pojavljovati+V+PresentPat
opstruirajući opstruirati+V+PresentPat
naglašavajući naglašavati+V+PresentPat
uzrokujući uzrokovati+V+PresentPat
ponavljajući ponavljati+V+PresentPat
favorizujući favorizovati+V+PresentPat
decenije deceno+Adj+Comp+Neut+Sg
unije uno+Adj+Comp+Neut+Sg
važnija važna+Adj+Comp+Fem+Sg
najvažnija važna+Adj+Sup+Fem+Sg
svestranije svestrano+Adj+Comp+Neut+Sg
linija lina+Adj+Comp+Fem+Sg
apolonija apolona+Adj+Comp+Fem+Sg
linije lino+Adj+Comp+Neut+Sg
bezbedniji bezbedan+Adj+Comp+Masc+Sg
decenija decena+Adj+Comp+Fem+Sg
kompleksnija kompleksna+Adj+Comp+Fem+Sg
moćniji moćan+Adj+Comp+Masc+Sg
najmoćniji moćan+Adj+Sup+Masc+Sg
menija mena+Adj+Comp+Fem+Sg
pensilvaniji pensilvaan+Adj+Comp+Masc+Sg
alianija aliana+Adj+Comp+Fem+Sg
liniji lian+Adj+Comp+Masc+Sg
beskompromisniji beskompromisan+Adj+Comp+Masc+Sg
ranije rano+Adj+Comp+Neut+Sg
nezadovoljniji nezadovoljan+Adj+Comp+Masc+Sg
telefonije telefono+Adj+Comp+Neut+Sg
konkurentnija konkurentna+Adj+Comp+Fem+Sg
makedonije makedono+Adj+Comp+Neut+Sg
sigurnija sigurna+Adj+Comp+Fem+Sg
snažnije snažno+Adj+Comp+Neut+Sg
efikasnija efikasna+Adj+Comp+Fem+Sg
uticajniji uticajan+Adj+Comp+Masc+Sg
unija una+Adj+Comp+Fem+Sg
ozbiljniji ozbiljan+Adj+Comp+Masc+Sg
najozbiljniji ozbiljan+Adj+Sup+Masc+Sg
estonije estono+Adj+Comp+Neut+Sg
pozitivniji pozitivan+Adj+Comp+Masc+Sg
čečeniji čečean+Adj+Comp+Masc+Sg
opasnijim opasan+Adj+Comp+Masc+Pl
kompanije kompano+Adj+Comp+Neut+Sg
španiji špaan+Adj+Comp+Masc+Sg
iskusnijim iskusan+Adj+Comp+Masc+Pl
rasprostranjenija rasprostranjena+Adj+Comp+Fem+Sg
ceremonija ceremona+Adj+Comp+Fem+Sg
litvanije litvano+Adj+Comp+Neut+Sg
značajniji značajan+Adj+Comp+Masc+Sg
najznačajniji značajan+Adj+Sup+Masc+Sg
kolonija kolona+Adj+Comp+Fem+Sg
britanije britano+Adj+Comp+Neut+Sg
albaniji albaan+Adj+Comp+Masc+Sg
striktnije striktno+Adj+Comp+Neut+Sg
kompanija kompana+Adj+Comp+Fem+Sg
očigledniji očigledan+Adj+Comp+Masc+Sg
potpunije potpuno+Adj+Comp+Neut+Sg
britaniji britaan+Adj+Comp+Masc+Sg
docnije docno+Adj+Comp+Neut+Sg
tačnije tačno+Adj+Comp+Neut+Sg
slovenije sloveno+Adj+Comp+Neut+Sg
diversifikovanija diversifikovana+Adj+Comp+Fem+Sg
ranijim raan+Adj+Comp+Masc+Pl
kasnije kasno+Adj+Comp+Neut+Sg
izraženijim izražean+Adj+Comp+Masc+Pl
demokratičnija demokratična+Adj+Comp+Fem+Sg
siromašnije siromašno+Adj+Comp+Neut+Sg
britanija britana+Adj+Comp+Fem+Sg
konkretnije konkretno+Adj+Comp+Neut+Sg
jevtinijim jevtian+Adj+Comp+Masc+Pl
španije špano+Adj+Comp+Neut+Sg
precizniji precizan+Adj+Comp+Masc+Sg
ceremoniji ceremoan+Adj+Comp+Masc+Sg
kompaniji kompaan+Adj+Comp+Masc+Sg
optimalnije optimalno+Adj+Comp+Neut+Sg
sigurnije sigurno+Adj+Comp+Neut+Sg
španija špana+Adj+Comp+Fem+Sg
rumuniji rumuan+Adj+Comp+Masc+Sg
rasprostranjeniji rasprostranjean+Adj+Comp+Masc+Sg
rumunije rumuno+Adj+Comp+Neut+Sg
makedoniji makedoan+Adj+Comp+Masc+Sg
zainteresovanija zainteresovana+Adj+Comp+Fem+Sg
represivniji represivan+Adj+Comp+Masc+Sg
optimističniji optimističan+Adj+Comp+Masc+Sg
letonije letono+Adj+Comp+Neut+Sg
aktivnije aktivno+Adj+Comp+Neut+Sg
jeftinije jeftino+Adj+Comp+Neut+Sg
makedonija makedona+Adj+Comp+Fem+Sg
važniji važan+Adj+Comp+Masc+Sg
najvažniji važan+Adj+Sup+Masc+Sg
slovenija slovena+Adj+Comp+Fem+Sg
urgentniji urgentan+Adj+Comp+Masc+Sg
najurgentniji urgentan+Adj+Sup+Masc+Sg
uniji uan+Adj+Comp+Masc+Sg
transparentnijim transparentan+Adj+Comp+Masc+Pl
ceremonije ceremono+Adj+Comp+Neut+Sg
rumunija rumuna+Adj+Comp+Fem+Sg
albanija albana+Adj+Comp+Fem+Sg
sloveniji slovean+Adj+Comp+Masc+Sg
važnije važno+Adj+Comp+Neut+Sg
najvažnije važno+Adj+Sup+Neut+Sg
efikasniji efikasan+Adj+Comp+Masc+Sg
slobodniji slobodan+Adj+Comp+Masc+Sg
značajnije značajno+Adj+Comp+Neut+Sg
najznačajnije značajno+Adj+Sup+Neut+Sg
albanije albano+Adj+Comp+Neut+Sg
finansijskog finansijski+Adj+Poss
finansijskom finansijski+Adj+Poss
finansijskim finansijski+Adj+Poss
finansijska finansijski+Adj+Poss
finansijske finansijski+Adj+Poss
finansijsku finansijski+Adj+Poss
finansijskih finansijski+Adj+Poss
trojanski trojanski+Adj
dostojevski dostojevski+Adj
svetskog svetski+Adj+Poss
svetskom svetski+Adj+Poss
svetskim svetski+Adj+Poss
svetska svetski+Adj+Poss
svetske svetski+Adj+Poss
svetskoj svetski+Adj+Poss
svetsku svetski+Adj+Poss
svetskih svetski+Adj+Poss
svetsko svetski+Adj+Poss
herkulovski herkulovski+Adj
romskog romski+Adj+Poss
romskom romski+Adj+Poss
romskim romski+Adj+Poss
romska romski+Adj+Poss
romske romski+Adj+Poss
romskoj romski+Adj+Poss
ivanovski ivanovski+Adj
generacijski generacijski+Adj
mađarske mađarski+Adj+Poss
mađarskoj mađarski+Adj+Poss
beogradskog beogradski+Adj+Poss
beogradskom beogradski+Adj+Poss
beogradska beogradski+Adj+Poss
beogradske beogradski+Adj+Poss
beogradskoj beogradski+Adj+Poss
beogradsku beogradski+Adj+Poss
istorijskog istorijski+Adj+Poss
istorijskom istorijski+Adj+Poss
istorijskim istorijski+Adj+Poss
istorijska istorijski+Adj+Poss
istorijsku istorijski+Adj+Poss
istorijskih istorijski+Adj+Poss
gruevskog gruevski+Adj+Poss
gruevskim gruevski+Adj+Poss
britanskog britanski+Adj+Poss
britanskom britanski+Adj+Poss
britanska britanski+Adj+Poss
britanske britanski+Adj+Poss
britansku britanski+Adj+Poss
britanskih britanski+Adj+Poss
diplomatskog diplomatski+Adj+Poss
diplomatskom diplomatski+Adj+Poss
diplomatskim diplomatski+Adj+Poss
diplomatska diplomatski+Adj+Poss
diplomatske diplomatski+Adj+Poss
diplomatskoj diplomatski+Adj+Poss
diplomatsku diplomatski+Adj+Poss
kurdskog kurdski+Adj+Poss
kurdskom kurdski+Adj+Poss
kurdske kurdski+Adj+Poss
kurdskoj kurdski+Adj+Poss
kurdsku kurdski+Adj+Poss
kurdskih kurdski+Adj+Poss
filmskom filmski+Adj+Poss
filmskih filmski+Adj+Poss
švajcarskog švajcarski+Adj+Poss
švajcarske švajcarski+Adj+Poss
švajcarskoj švajcarski+Adj+Poss
televizijske televizijski+Adj+Poss
spoljnotrgovinski spoljnotrgovinski+Adj
spisateljski spisateljski+Adj
pakistanske pakistanski+Adj+Poss
socijaldemokratskog socijaldemokratski+Adj+Poss
socijaldemokratskom socijaldemokratski+Adj+Poss
socijaldemokratska socijaldemokratski+Adj+Poss
socijaldemokratske socijaldemokratski+Adj+Poss
socijaldemokratskoj socijaldemokratski+Adj+Poss
bosforski bosforski+Adj
dejtonskog dejtonski+Adj+Poss
dejtonskim dejtonski+Adj+Poss
balkanskim balkanski+Adj+Poss
balkanska balkanski+Adj+Poss
balkanske balkanski+Adj+Poss
balkanskoj balkanski+Adj+Poss
balkansku balkanski+Adj+Poss
balkanskih balkanski+Adj+Poss
irskim irski+Adj+Poss
irska irski+Adj+Poss
irske irski+Adj+Poss
irskoj irski+Adj+Poss
geografski geografski+Adj
vremenskim vremenski+Adj+Poss
vremenskih vremenski+Adj+Poss
albanskog albanski+Adj+Poss
albanskom albanski+Adj+Poss
albanskim albanski+Adj+Poss
albanska albanski+Adj+Poss
albanske albanski+Adj+Poss
albanskoj albanski+Adj+Poss
albansku albanski+Adj+Poss
albanskih albanski+Adj+Poss
belgijskom belgijski+Adj+Poss
bosanskim bosanski+Adj+Poss
bosanska bosanski+Adj+Poss
bosanske bosanski+Adj+Poss
bosanskih bosanski+Adj+Poss
građevinskog građevinski+Adj+Poss
građevinske građevinski+Adj+Poss
londonskoj londonski+Adj+Poss
lisabonski lisabonski+Adj
teoretski teoretski+Adj
jugoslovenskog jugoslovenski+Adj+Poss
jugoslovenske jugoslovenski+Adj+Poss
jugoslovenskoj jugoslovenski+Adj+Poss
terapeutsko terapeutski+Adj+Poss
portugalske portugalski+Adj+Poss
vijetnamski vijetnamski+Adj
cerovski cerovski+Adj
